t,setpointWI,WD,WI
0,10,0,0
5,10,0,0
10,10,0,0
15,10,0,0
20,10,0,0
25,10,0,0
30,10,0,0
35,10,0,0
40,10,0,0
45,10,0,0
50,10,0,0
55,10,0,0
60,10,0,0
65,10,0.01,0
70,10,0.01,0
75,10,0.01,0.32
80,10,0.01,0.17
85,10,0.02,0.11
90,10,0.03,0.08
95,10,0.03,0.07
100,10,0.04,0.06
105,10,0.04,0.05
110,10,0.05,0.04
115,10,0.06,0.04
120,10,0.07,0.03
125,10,0.08,0.03
130,10,0.11,0.03
135,10,0.17,0.04
140,10,0.33,0.04
145,10,6.66,0.05
150,10,7.09,0.06
155,10,7.65,0.07
160,10,8.32,0.08
165,10,9.11,0.11
170,10,10.07,0.17
175,10,11.25,0.32
180,10,11.52,5.91
185,10,11.81,6.22
190,10,12.11,6.57
195,10,12.42,6.95
200,10,12.76,7.48
205,10,12.89,8.08
210,10,13.03,8.8
215,10,13.18,9.66
220,10,13.32,9.82
225,10,13.45,10.08
230,10,13.46,10.36
235,10,13.47,10.65
240,10,13.48,10.96
245,10,13.49,11.29
250,10,13.5,11.48
255,10,13.48,11.69
260,10,13.47,11.9
265,10,13.45,12.12
270,10,13.43,12.35
275,10,13.44,12.51
280,10,13.45,12.68
285,10,13.46,12.85
290,10,13.48,13.02
295,10,13.54,13.24
300,10,13.61,13.37
305,10,13.68,13.51
310,10,13.74,13.65
315,10,13.81,13.79
320,10,13.91,13.98
325,10,14,13.98
330,10,14,13.98
335,10,14,13.98
340,10,14,13.98
345,10,14,13.98
350,10,14,13.98
355,10,14,13.98
360,10,14,13.98
365,10,14,13.98
370,10,14,13.98
375,10,14,13.98
380,10,14,13.98
385,10,13.95,13.98
390,10,13.8,13.98
395,10,13.65,13.98
400,10,13.5,13.98
405,10,13.35,13.98
410,10,13.25,13.98
415,10,13,13.96
420,10,12.77,13.77
425,10,12.54,13.6
430,10,12.32,13.47
435,10,12.2,13.34
440,10,12.08,13.21
445,10,11.97,13.08
450,10,11.86,12.96
455,10,11.75,12.91
460,10,11.64,12.87
465,10,11.65,12.82
470,10,11.61,12.77
475,10,11.57,12.73
480,10,11.53,12.7
485,10,11.49,12.53
490,10,11.45,12.36
495,10,11.41,12.19
500,10,11.23,12.03
505,10,11.07,11.89
510,10,10.9,11.76
515,10,10.74,11.42
520,10,10.63,11.11
525,10,10.52,10.81
530,10,10.39,10.53
535,10,10.27,10.37
540,10,10.16,10.21
545,10,10.04,10.05
550,10,10.03,9.9
555,10,10.02,9.59
560,10,10.01,9.29
565,10,9.91,9.14
570,10,9.81,8.99
575,10,9.71,8.85
580,10,9.62,8.71
585,10,9.54,8.58
590,10,9.45,8.45
595,10,9.37,8.32
600,10,9.29,8.06
605,10,9.08,7.92
610,10,8.89,7.79
615,10,8.77,7.66
620,10,8.65,7.54
625,10,8.54,7.42
630,10,8.43,7.31
635,10,8.33,7.19
640,10,8.22,7.09
645,10,8.12,6.98
650,10,7.9,6.99
655,10,7.79,6.99
660,10,7.68,7
665,10,7.57,7
670,10,7.46,7.01
675,10,7.36,7.01
680,10,7.26,7.02
685,10,7.16,7.02
690,10,7.07,7.02
695,10,6.96,7.01
700,10,6.95,7
705,10,6.93,6.99
710,10,6.92,6.98
715,10,6.91,6.97
720,10,6.9,6.96
725,10,6.88,6.95
730,10,6.87,6.98
735,10,6.94,7
740,10,7,7.03
745,10,7.08,7.06
750,10,7.17,7.09
755,10,7.25,7.13
760,10,7.34,7.16
765,10,7.42,7.19
770,10,7.61,7.29
775,10,7.81,7.38
780,10,8.02,7.45
785,10,8.13,7.51
790,10,8.25,7.58
795,10,8.37,7.64
800,10,8.49,7.71
805,10,8.7,7.88
810,10,8.93,8.05
815,10,9.16,8.23
820,10,9.25,8.33
825,10,9.35,8.44
830,10,9.52,8.55
835,10,9.7,8.76
840,10,9.88,8.98
845,10,10.07,9.22
850,10,10.27,9.46
855,10,10.35,9.58
860,10,10.52,9.7
865,10,10.69,9.91
870,10,10.87,10.13
875,10,11.05,10.36
880,10,11.14,10.6
885,10,11.31,10.71
890,10,11.48,10.91
895,10,11.66,11.11
900,10,11.84,11.33
905,10,12.02,11.55
910,10,12.15,11.79
915,10,12.28,11.93
920,10,12.41,12.08
925,10,12.55,12.24
930,10,12.68,12.4
935,10,12.74,12.56
940,10,12.8,12.65
945,10,12.85,12.75
950,10,12.91,12.85
955,10,12.99,12.95
960,10,13.01,13.05
965,10,13.04,13.11
970,10,13.07,13.17
975,10,13.09,13.23
980,10,13.11,13.29
985,10,13.11,12.18
990,10,13.12,11.2
995,10,13.12,10.37
1000,10,13.12,9.65
1005,10,13.1,9.02
1010,10,13.07,9.03
1015,10,13.04,9.05
1020,10,13.02,9.06
1025,10,12.99,9.07
1030,10,12.92,9.07
1035,10,12.85,9.71
1040,10,12.79,10.45
1045,10,12.72,11.3
1050,10,12.66,12.31
1055,10,12.55,13.52
1060,10,12.45,13.52
1065,10,12.36,13.51
1070,10,12.26,13.51
1075,10,12.16,13.5
1080,10,12.12,13.46
1085,10,11.99,13.42
1090,10,11.87,13.38
1095,10,11.75,13.34
1100,10,11.63,13.3
1105,10,11.56,13.18
1110,10,11.48,13.07
1115,10,11.34,12.96
1120,10,11.19,12.85
1125,10,11.05,12.74
1130,10,10.92,12.62
1135,10,10.85,12.51
1140,10,10.78,12.4
1145,10,10.66,12.29
1150,10,10.54,12.18
1155,10,10.43,12.13
1160,10,10.32,12
1165,10,10.26,11.88
1170,10,10.21,11.75
1175,10,10.16,11.63
1180,10,10.08,11.57
1185,10,9.99,11.5
1190,10,9.91,11.31
1195,10,9.88,11.12
1200,10,9.84,10.94
1205,10,9.81,10.77
1210,10,9.71,10.66
1215,10,9.62,10.55
1220,10,9.53,10.35
1225,10,9.44,10.16
1230,10,9.39,9.97
1235,10,9.33,9.79
1240,10,9.28,9.71
1245,10,9.23,9.63
1250,10,9.15,9.55
1255,10,9.07,9.47
1260,10,9.05,9.23
1265,10,9.03,9
1270,10,9,8.85
1275,10,8.98,8.71
1280,10,8.95,8.57
1285,10,8.9,8.43
1290,10,8.84,8.3
1295,10,8.78,8.17
1300,10,8.75,8.05
1305,10,8.71,7.82
1310,10,8.68,7.72
1315,10,8.65,7.61
1320,10,8.6,7.51
1325,10,8.55,7.42
1330,10,8.5,7.32
1335,10,8.48,7.23
1340,10,8.46,7.14
1345,10,8.44,7.05
1350,10,8.43,6.96
1355,10,8.41,6.92
1360,10,8.35,6.88
1365,10,8.28,6.84
1370,10,8.23,6.8
1375,10,8.19,6.76
1380,10,8.14,6.72
1385,10,8.1,6.69
1390,10,8.05,6.65
1395,10,8.01,6.61
1400,10,7.96,6.58
1405,10,7.92,6.58
1410,10,7.92,6.59
1415,10,7.92,6.59
1420,10,7.92,6.59
1425,10,7.92,6.6
1430,10,7.91,6.6
1435,10,7.91,6.61
1440,10,7.94,6.61
1445,10,7.97,6.69
1450,10,8,6.76
1455,10,8.03,6.84
1460,10,8.06,6.92
1465,10,8.1,7
1470,10,8.13,7.08
1475,10,8.2,7.17
1480,10,8.28,7.35
1485,10,8.36,7.54
1490,10,8.41,7.75
1495,10,8.45,7.86
1500,10,8.5,7.97
1505,10,8.55,8.09
1510,10,8.65,8.33
1515,10,8.76,8.59
1520,10,8.87,8.87
1525,10,8.93,9.16
1530,10,8.99,9.31
1535,10,9.06,9.46
1540,10,9.19,9.74
1545,10,9.33,10.04
1550,10,9.48,10.35
1555,10,9.63,10.69
1560,10,9.72,10.83
1565,10,9.8,11.08
1570,10,9.94,11.33
1575,10,10.09,11.59
1580,10,10.25,11.87
1585,10,10.4,12.2
1590,10,10.47,12.36
1595,10,10.57,12.52
1600,10,10.67,12.69
1605,10,10.77,12.86
1610,10,10.87,13.03
1615,10,10.98,13.08
1620,10,11.01,13.13
1625,10,11.11,13.19
1630,10,11.21,13.24
1635,10,11.32,13.29
1640,10,11.42,13.34
1645,10,11.49,13.39
1650,10,11.55,13.43
1655,10,11.62,13.45
1660,10,11.69,13.47
1665,10,11.76,13.5
1670,10,11.83,13.52
1675,10,11.81,13.54
1680,10,11.8,13.48
1685,10,11.79,13.38
1690,10,11.78,13.28
1695,10,11.76,13.18
1700,10,11.75,13.08
1705,10,11.74,13.01
1710,10,11.72,12.86
1715,10,11.71,12.71
1720,10,11.69,12.56
1725,10,11.68,12.41
1730,10,11.67,12.34
1735,10,11.65,12.16
1740,10,11.64,11.99
