t,Referencia,Referencia,WD,WI
0,10,10,0,0
5,10,10,0,0
10,10,10,0,0
15,10,10,0,0
20,10,10,0,0
25,10,10,0,0
30,10,10,0,0
35,10,10,0,0.02
40,10,10,0,0.02
45,10,10,0,0.02
50,10,10,0,0.02
55,10,10,0,0.02
60,10,10,0,0.02
65,10,10,0,0.03
70,10,10,0,0.03
75,10,10,0,0.03
80,10,10,0,0.04
85,10,10,0,0.04
90,10,10,0.26,0.05
95,10,10,0.16,0.06
100,10,10,0.12,0.07
105,10,10,0.09,0.08
110,10,10,0.08,0.1
115,10,10,0.06,0.13
120,10,10,0.06,0.19
125,10,10,0.05,0.38
130,10,10,0.04,7.44
135,10,10,0.04,7.84
140,10,10,0.04,8.33
145,10,10,0.04,8.88
150,10,10,0.04,9.51
155,10,10,0.04,10.23
160,10,10,0.05,11.08
165,10,10,0.06,11.15
170,10,10,0.07,11.2
175,10,10,0.08,11.26
180,10,10,0.1,11.32
185,10,10,0.13,11.37
190,10,10,0.19,11.36
195,10,10,0.37,11.43
200,10,10,4.83,11.5
205,10,10,5.01,11.57
210,10,10,5.21,11.64
215,10,10,5.42,11.71
220,10,10,5.65,11.85
225,10,10,5.9,11.99
230,10,10,6.18,12.14
235,10,10,6.48,12.29
240,10,10,6.89,12.44
245,10,10,7.35,12.52
250,10,10,7.44,12.6
255,10,10,7.53,12.69
260,10,10,7.62,12.77
265,10,10,7.71,12.91
270,10,10,7.91,13
275,10,10,8.12,13.08
280,10,10,8.34,13.17
285,10,10,8.58,13.25
290,10,10,8.7,13.43
295,10,10,8.83,13.58
300,10,10,9.07,13.74
305,10,10,9.32,13.9
310,10,10,9.58,13.9
315,10,10,9.86,13.9
320,10,10,9.99,13.9
325,10,10,10.12,13.9
330,10,10,10.28,13.9
335,10,10,10.45,13.9
340,10,10,10.63,13.9
345,10,10,10.81,13.9
350,10,10,10.84,13.9
355,10,10,10.94,13.9
360,10,10,11.04,13.9
365,10,10,11.15,13.9
370,10,10,11.25,13.9
375,10,10,11.36,13.9
380,10,10,11.47,13.9
385,10,10,11.58,13.9
390,10,10,11.69,13.9
395,10,10,11.81,13.9
400,10,10,11.93,13.9
405,10,10,12.01,13.9
410,10,10,12.09,13.9
415,10,10,12.17,13.9
420,10,10,12.25,13.9
425,10,10,12.33,13.9
430,10,10,12.37,13.9
435,10,10,12.42,13.9
440,10,10,12.46,13.9
445,10,10,12.51,13.9
450,10,10,12.55,13.9
455,10,10,12.6,13.9
460,10,10,12.65,13.9
465,10,10,12.69,13.9
470,10,10,12.74,13.9
475,10,10,12.79,13.9
480,10,10,12.85,13.9
485,10,10,12.91,13.9
490,10,10,12.97,13.9
495,10,10,13.03,13.9
500,10,10,13.1,13.9
505,10,10,13.15,13.9
510,10,10,13.2,13.9
515,10,10,13.25,13.9
520,10,10,13.3,13.9
525,10,10,13.35,13.9
530,10,10,13.39,13.9
535,10,10,13.42,13.9
540,10,10,13.45,13.9
545,10,10,13.49,13.9
550,10,10,13.5,13.9
555,10,10,13.49,13.9
560,10,10,13.47,13.9
565,10,10,13.45,13.9
570,10,10,13.44,13.9
575,10,10,13.45,13.9
580,10,10,13.46,13.9
585,10,10,13.47,13.9
590,10,10,13.49,13.9
595,10,10,13.52,13.9
600,10,10,13.56,13.9
605,10,10,13.61,13.9
610,10,10,13.66,13.9
615,10,10,13.71,13.9
620,10,10,13.77,13.9
625,10,10,13.81,13.9
630,10,10,13.84,13.9
635,10,10,13.88,13.9
640,10,10,13.86,13.9
645,10,10,13.83,13.9
650,10,10,13.79,13.9
655,10,10,13.76,13.9
660,10,10,13.72,13.9
665,10,10,13.68,13.9
670,10,10,13.63,13.9
675,10,10,13.57,13.9
680,10,10,13.52,13.9
685,10,10,13.47,13.9
690,10,10,13.41,13.9
695,10,10,13.34,13.9
700,10,10,13.28,13.93
705,10,10,13.22,13.89
710,10,10,13.16,13.88
715,10,10,13.09,13.87
720,10,10,13.01,13.86
725,10,10,12.93,13.85
730,10,10,12.86,13.82
735,10,10,12.79,13.79
740,10,10,12.73,13.76
745,10,10,12.67,13.73
750,10,10,12.61,13.65
755,10,10,12.55,13.54
760,10,10,12.49,13.43
765,10,10,12.44,13.33
770,10,10,12.39,13.22
775,10,10,12.34,13.11
780,10,10,12.28,13.05
785,10,10,12.23,12.98
790,10,10,12.18,12.92
795,10,10,12.13,12.86
800,10,10,12.09,12.84
805,10,10,12.04,12.76
810,10,10,11.99,12.68
815,10,10,11.96,12.59
820,10,10,11.89,12.51
825,10,10,11.81,12.44
830,10,10,11.74,12.34
835,10,10,11.67,12.25
840,10,10,11.63,12.15
845,10,10,11.54,12.05
850,10,10,11.44,11.96
855,10,10,11.34,11.88
860,10,10,11.25,11.8
865,10,10,11.16,11.72
870,10,10,11.1,11.64
875,10,10,11.01,11.57
880,10,10,10.93,11.52
885,10,10,10.84,11.42
890,10,10,10.76,11.33
895,10,10,10.73,11.23
900,10,10,10.7,11.14
905,10,10,10.67,11.09
910,10,10,10.64,11.04
915,10,10,10.61,10.99
920,10,10,10.58,10.94
925,10,10,10.58,10.89
930,10,10,10.58,10.84
935,10,10,10.57,10.84
940,10,10,10.56,10.84
945,10,10,10.55,10.84
950,10,10,10.54,10.84
955,10,10,10.53,10.84
960,10,10,10.52,10.85
965,10,10,10.51,10.85
970,10,10,10.44,10.86
975,10,10,10.37,10.79
980,10,10,10.3,10.73
985,10,10,10.24,10.67
990,10,10,10.18,10.6
995,10,10,10.12,10.53
1000,10,10,10.04,10.47
1005,10,10,9.96,10.42
1010,10,10,9.88,10.37
1015,10,10,9.8,10.31
1020,10,10,9.77,10.27
1025,10,10,9.75,10.28
1030,10,10,9.73,10.29
1035,10,10,9.71,10.33
1040,10,10,9.69,10.37
1045,10,10,9.66,10.4
1050,10,10,9.66,10.44
1055,10,10,9.67,10.46
1060,10,10,9.67,10.49
1065,10,10,9.68,10.53
1070,10,10,9.69,10.58
1075,10,10,9.7,10.63
1080,10,10,9.71,10.68
1085,10,10,9.73,10.7
1090,10,10,9.74,10.73
1095,10,10,9.75,10.71
1100,10,10,9.73,10.69
1105,10,10,9.71,10.68
1110,10,10,9.7,10.66
1115,10,10,9.67,10.62
1120,10,10,9.64,10.58
1125,10,10,9.61,10.53
1130,10,10,9.55,10.47
1135,10,10,9.5,10.42
1140,10,10,9.44,10.38
1145,10,10,9.39,10.36
1150,10,10,9.36,10.35
1155,10,10,9.33,10.35
1160,10,10,9.31,10.35
1165,10,10,9.29,10.35
1170,10,10,9.28,10.35
1175,10,10,9.26,10.36
1180,10,10,9.27,10.37
1185,10,10,9.28,10.38
1190,10,10,9.29,10.39
1195,10,10,9.3,10.4
1200,10,10,9.31,10.41
1205,10,10,9.31,10.41
1210,10,10,9.32,10.41
1215,10,10,9.31,10.44
1220,10,10,9.3,10.47
1225,10,10,9.3,10.5
1230,10,10,9.29,10.53
1235,10,10,9.26,10.55
1240,10,10,9.22,10.58
1245,10,10,9.19,10.56
1250,10,10,9.16,10.54
1255,10,10,9.14,10.52
1260,10,10,9.11,10.5
1265,10,10,9.08,10.45
1270,10,10,9.04,10.4
1275,10,10,8.99,10.33
1280,10,10,8.94,10.25
1285,10,10,8.92,10.18
1290,10,10,8.9,10.11
1295,10,10,8.88,10.08
1300,10,10,8.86,10.05
1305,10,10,8.87,10.04
1310,10,10,8.87,10.03
1315,10,10,8.88,10.02
1320,10,10,8.91,10.01
1325,10,10,8.93,10.03
1330,10,10,8.96,10.04
1335,10,10,8.98,10.06
1340,10,10,8.99,10.03
1345,10,10,8.99,10.01
1350,10,10,8.99,9.99
1355,10,10,8.97,9.94
1360,10,10,8.94,9.9
1365,10,10,8.92,9.86
1370,10,10,8.89,9.82
1375,10,10,8.85,9.74
1380,10,10,8.8,9.66
1385,10,10,8.75,9.58
1390,10,10,8.73,9.53
1395,10,10,8.7,9.49
1400,10,10,8.68,9.45
1405,10,10,8.66,9.4
1410,10,10,8.63,9.36
1415,10,10,8.61,9.31
1420,10,10,8.58,9.27
1425,10,10,8.58,9.26
1430,10,10,8.58,9.26
1435,10,10,8.58,9.25
1440,10,10,8.57,9.25
1445,10,10,8.57,9.25
1450,10,10,8.57,9.26
1455,10,10,8.56,9.26
1460,10,10,8.55,9.27
1465,10,10,8.55,9.27
1470,10,10,8.54,9.28
1475,10,10,8.54,9.26
1480,10,10,8.53,9.25
1485,10,10,8.53,9.23
1490,10,10,8.5,9.21
1495,10,10,8.47,9.19
1500,10,10,8.44,9.17
1505,10,10,8.42,9.15
1510,10,10,8.39,9.11
1515,10,10,8.37,9.08
1520,10,10,8.34,9.05
1525,10,10,8.3,9.04
1530,10,10,8.26,9.03
1535,10,10,8.22,9.02
